front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A92,L096,7,9,-43.268519,210.0,-29.66805,214.587656
A93,L097,7,10,-21.634259,210.0,-21.191464,214.587656
A94,L098,7,12,0.0,210.0,-4.238293,214.587656
A95,L099,7,15,21.634259,210.0,21.191464,214.587656
A96,L100,7,16,43.268519,210.0,29.66805,214.587656
A97,L101,8,10,64.902778,210.0,61.069947,214.587656
A98,L102,8,13,86.537037,210.0,86.499704,214.587656
A99,L103,8,15,108.171296,210.0,103.452875,214.587656
A100,L104,9,9,129.805556,210.0,134.854772,214.587656
A101,L105,9,11,151.439815,210.0,151.807943,214.587656
A102,L106,9,13,173.074074,210.0,168.761114,214.587656
A103,L107,9,16,194.708333,210.0,194.190871,214.587656
A104,L108,10,9,216.342593,210.0,217.116183,214.587656
A105,L109,10,10,237.976852,210.0,225.592768,214.587656
A106,L110,10,11,259.611111,210.0,234.069354,214.587656
A107,L111,11,8,-278.5,190.0,-258.246888,141.428942
A108,L112,12,11,-258.607143,190.0,-218.368405,125.583506
A109,L113,12,4,-238.714286,190.0,-209.89182,141.428942
A110,L114,12,6,-218.821429,190.0,-192.938648,141.428942
A111,L115,5,11,-198.928571,190.0,-177.2377,214.587656
A112,L116,13,2,-179.035714,190.0,-144.58358,141.428942
A113,L117,5,15,-159.142857,190.0,-143.331357,214.587656
A114,L118,13,5,-139.25,190.0,-119.153823,141.428942
A115,L119,6,11,-119.357143,190.0,-94.976289,214.587656
A116,L120,6,13,-99.464286,190.0,-78.023118,214.587656
A117,L121,6,14,-79.571429,190.0,-69.546532,214.587656
A118,L122,6,16,-59.678571,190.0,-52.593361,214.587656
A119,L123,14,6,-39.785714,190.0,-28.415827,141.428942
A120,L124,7,11,-19.892857,190.0,-12.714878,214.587656
A121,L125,7,13,0.0,190.0,4.238293,214.587656
A122,L126,7,14,19.892857,190.0,12.714878,214.587656
A123,L127,15,11,39.785714,190.0,28.415827,125.583506
A124,L128,8,9,59.678571,190.0,52.593361,214.587656
A125,L129,8,11,79.571429,190.0,69.546532,214.587656
A126,L130,8,12,99.464286,190.0,78.023118,214.587656
A127,L131,8,14,119.357143,190.0,94.976289,214.587656
A128,L132,16,4,139.25,190.0,119.153823,141.428942
A129,L133,9,10,159.142857,190.0,143.331357,214.587656
A130,L134,16,7,179.035714,190.0,144.58358,141.428942
A131,L135,9,14,198.928571,190.0,177.2377,214.587656
A132,L136,17,3,218.821429,190.0,192.938648,141.428942
A133,L137,17,5,238.714286,190.0,209.89182,141.428942
A134,L138,17,14,258.607143,190.0,218.368405,125.583506
A135,L139,18,1,278.5,190.0,258.246888,141.428942
A136,L140,11,5,-297.388889,170.0,-283.676645,141.428942
